@relation weka_mymodel_model

@attribute text string
@attribute class {t,f}

@data
'concessione del servizio di tesoreria comunale da ubicare nel comune di campagna - importo a base d\'asta presunto: . 25.000,00, al netto di v: procedura. aperta. criterio: dell\'offerta',t
'procedura aperta per l\'appalto del servizio di refezione scolastica per il periodo 01/09/2017 - 30/07/2020 (oltre ad eventuale rinnovo per altri tre anni) - importo a base d\'appalto  950.400,00 oltre iva, soggetto a ribasso.',t
'servizi inerenti le attivita di accoglienza conseguenti lo stato di emergenza umanitaria in relazione all afflusso di cittadini appartenenti ai paesi del nord africa',t
'servizi di mantenimento, custodia e cura cani randagi del comune di altamur.',t
'affidamento del servizio di prelievo, trasporto e smaltimento del liquido melmoso disoleato',t
'procedura aperta per affidamento dei lavori di costruzione della variante di sessa aurunca',t
'affidamento del servizio di ristorazione scolastica',t
'affidamento polizza assicurativa',t
'lavori di messa in sicurezza, adeguamento alle norme antincendio e completamento dell auditorium comunale sito in via garibaldi',t
'affidamento della gestione del servizio di parcheggio e delle aree a sosta a pagamento',t
'procedura aperta per l\'affidamento triennale dei servizi socio-assistenziali',t
'affidamento del servizio di sostegno alle famiglie e reddito di maternita',t
'refezione scolastica per le scuole dell infanzia statale e comunale e per le scuole primarie statali del comune di bracciano',t
'affidamento del servizio di supporto alla gestione, accertamento e riscossione coattiva delle entrate tributarie ed extratributarie e di tutti i servizi',t
'procedura aperta per l appalto del servizio di',t
'denominazione conferita all appalto dall amministrazione aggiudicatrice: procedura aperta per la fornitura di materiale vario di vestiario ed equipaggiamento.',t
'servizi relativi al rinnovamento dell impianto di rifornimento laterale hepburn per i carichi solidi e liquidi di nave etna.-  fasc.4108/17, suddiviso in 3 lotti.',t
'procedura aperta per l affidamento triennale dei servizi socio-assistenziali, sanitari e generali a favore di persone anziane per tre anni con  possibilita di opzione  per ulteriori tre anni, ripartita nei seguenti tre lotti:', t
